AÑO	E	F	M	A	M	J	J	A	S	O	N	D
1956	1006.5	1009.9	1009.5	1012.5	1016.5	1018.5	1014.8	1018.2	1013.1	1015.2	1013.4	1009.5
1957	1006.5	1009.4	1012.6	1015.9	1012.8	1015.4	1015.5	1014.1	1016.4	1013.2	1011.6	1008.4
1958	1009.2	1009.3	1012.4	1013.7	1014.6	1014.9	1014.1	1014.9	1013.7	1014.8	1009.2	1010.8
1959	1009.4	1009.8	1013.0	1010.5	1015.2	1015.0	1014.0	1014.5	1015.9	1012.4	1010.9	1009.1
1960	1008.7	1010.3	1011.8	1013.7	1015.9	1015.8	1016.5	1015.2	1014.7	1013.0	1010.8	1009.3
1961	1007.6	1010.5	1011.1	1012.6	1014.6	1016.6	1016.7	1013.0	1014.3	1010.8	1008.8	1009.5
1962	1009.9	1010.1	1007.8	1014.4	1016.9	1016.0	1022.1	1014.9	1015.3	1015.3	1010.4	1009.8
1963	1008.0	1011.4	1010.9	1011.7	1016.0	1015.7	1013.9	1013.0	1013.0	1013.4	1010.2	1010.9
1964	1009.6	1008.7	1012.5	1014.6	1015.7	1015.6	1017.5	1014.5	1015.4	1015.2		1006.7
1965	1007.0	1004.9	1013.8	1012.2	1013.5	1014.3	1013.9	1013.2	1013.9	1011.1	1011.4	1008.3
1966	1007.8	1008.4	1010.3	1013.8	1014.3	1010.9	1014.3	1016.2	1017.4	1012.7	1010.2	1007.0
1967	1007.0	1009.5	1011.0	1014.1	1012.1	1015.0	1015.3	1013.7	1014.2	1011.2	1011.2	1009.2
1968	1009.2	1008.7	1012.4	1014.8	1015.5	1017.4	1017.6	1016.8	1016.5	1012.6	1009.2	1007.5
1969	1006.2	1008.1	1011.5	1013.0	1012.7	1014.1	1015.0	1016.3	1010.9	1013.1	1009.5	1009.6
1970	1008.7	1008.6	1011.6	1011.3	1012.5	1015.0	1016.6	1016.0	1013.1	1012.4	1010.8	1005.4
1971	1005.7	1010.2	1010.2	1012.6	1015.1	1014.6	1012.8	1015.2	1013.5	1014.8	1009.2	1003.8
